Title,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Journal,Citations,Year
School Choice: A Mechanism Design Approach,A Abdulkadiroğlu,T Sönmez,,,,,"American Economic Review 93 (3), 729-747",1196,2003
School Choice: A Mechanism Design Approach,A Abdulkadiroğlu,T Sönmez,,,,,"American Economic Review 93 (3), 729-747",1193,2003
The new york city high school match,A Abdulkadiroğlu,PA Pathak,AE Roth,,,,"American Economic Review 95 (2), 364-367",624,2005
Accountability and flexibility in public schools: Evidence from Boston's charters and pilots,A Abdulkadiroğlu,JD Angrist,SM Dynarski,TJ Kane,PA Pathak,,"The Quarterly Journal of Economics 126 (2), 699-748",547,2011
The Boston public school match,A Abdulkadiroğlu,PA Pathak,AE Roth,T Sönmez,,,"American Economic Review 95 (2), 368-371",540,2005
Random Serial Dictatorship and the Core from Random Endowments in House Allocation Problems,A Abdulkadiroglu,T Sonmez,,,,,"Econometrica 66 (3), 689-701",495,1998
Strategy-proofness versus efficiency in matching with indifferences: Redesigning the NYC high school match,A Abdulkadiroğlu,PA Pathak,AE Roth,,,,"American Economic Review 99 (5), 1954-78",444,2009
House allocation with existing tenants,A Abdulkadiroğlu,T Sönmez,,,,,"Journal of Economic Theory 88 (2), 233-260",435,1999
Changing the Boston School Choice Mechanism: Strategy-Proofness as Equal Access,A Abdulkadiroglu,P Pathak,AE Roth,,,,"Working Paper, Harvard University",278,
The Elite Illusion: Achievement Effects at Boston and New York Exam Schools,A Abdulkadiroglu,J Angrist,P Pathak,,,,"Econometrica 82 (1), 137-196",262,2014
The elite illusion: Achievement effects at Boston and New York exam schools,A Abdulkadiroğlu,J Angrist,P Pathak,,,,"Econometrica 82 (1), 137-196",262,2014
Resolving Conflicting Preferences in School Choice: The'Boston'Mechanism Reconsidered,A Abdulkadiroglu,YK Che,Y Yasuda,,,,Available at SSRN 1456088,184,2009
"Informing the debate: Comparing Boston's charter, pilot and traditional schools",A Abdulkadiroglu,J Angrist,S Cohodes,S Dynarski,J Fullerton,T Kane,Boston Foundation,179,2009
College admissions with affirmative action,A Abdulkadiroğlu,,,,,,"International Journal of Game Theory 33 (4), 535-549",133,2005
"Expanding"" choice"" in school choice",A Abdulkadiroğlu,YK Che,Y Yasuda,,,,"American Economic Journal: Microeconomics 7 (1), 1-42",128,2015
Matching markets: Theory and practice,A Abdulkadiroglu,T Sönmez,,,,,"Advances in Economics and Econometrics 1, 3-47",104,2013
Charters without lotteries: Testing takeovers in New Orleans and Boston,A Abdulkadiroğlu,JD Angrist,PD Hull,PA Pathak,,,"American Economic Review 106 (7), 1878-1920",95,2016
Ordinal efficiency and dominated sets of assignments,A Abdulkadiroğlu,T Sönmez,,,,,"Journal of Economic Theory 112 (1), 157-172",90,2003
"Trust, reciprocity, and favors in cooperative relationships",A Abdulkadiroğlu,K Bagwell,,,,,"American economic journal: Microeconomics 5 (2), 213-59",61,2013
Room assignment-rent division: A market approach,A Abdulkadiroğlu,T Sönmez,MU Ünver,,,,"Social Choice and Welfare 22 (3), 515-538",53,2004
Unemployment insurance and the role of self-insurance,A Abdulkadiroğlu,B Kuruşçu,A Şahin,,,,"Review of Economic dynamics 5 (3), 681-703",50,2002
The welfare effects of coordinated assignment: Evidence from the NYC HS match,A Abdulkadiroğlu,N Agarwal,PA Pathak,,,,National Bureau of Economic Research,47,2015
Free to choose: can school choice reduce student achievement?,A Abdulkadiroğlu,PA Pathak,CR Walters,,,,"American Economic Journal: Applied Economics 10 (1), 175-206",46,2018
